"Station","Date","Time","Interval","Air max","Air max time","Air min","Air min time","Air avg","RH avg","Precip","Chill hrs","Hrs 32F","Hrs 85F","Hrs 95F"
20140101,2400,1440,67,14:50,27,05:14,42,76,0.00,15.2,6.9,0.0,0.00,
20140102,2400,1440,66,14:07,29,06:01,44,75,0.00,14.3,3.3,0.0,0.00,
20140103,2400,1440,63,14:23,29,05:37,43,79,0.00,15.4,3.2,0.0,0.00,
20140104,2400,1440,66,15:04,29,05:17,44,76,0.00,14.0,3.4,0.0,0.00,
20140105,2400,1440,68,15:17,28,07:01,44,78,0.00,14.1,3.3,0.0,0.00,
20140106,2400,1440,69,15:31,27,06:54,45,74,0.00,13.0,5.2,0.0,0.00,
20140107,2400,1440,64,14:02,33,04:32,46,73,0.00,14.4,0.0,0.0,0.00,
20140108,2400,1440,60,13:12,27,06:49,43,82,0.00,13.4,4.7,0.0,0.00,
20140109,2400,1440,61,15:10,30,02:49,44,87,0.00,12.7,1.0,0.0,0.00,
20140110,2400,1440,63,15:16,31,06:16,46,87,0.00,13.0,.1,0.0,0.00,
20140111,2400,1440,62,13:41,34,07:18,48,84,0.00,8.8,0.0,0.0,0.00,
20140112,2400,1440,54,15:19,31,06:19,43,96,0.00,14.0,0.0,0.0,0.00,
20140113,2400,1440,65,15:30,29,06:51,43,83,0.00,14.7,3.9,0.0,0.00,
20140114,2400,1440, , , , , , , , , , , ,
20140115,2400,1440,69,15:44,29,06:40,46,78,0.00,12.9,2.4,0.0,0.00,
20140116,2400,1440,74,14:37,30,05:18,47,73,0.00,12.9,.9,.4,0.00,
20140117,2400,1440, , , , , , , , , , , ,
20140118,2400,1440, , , , , , , , , , , ,
20140119,2400,1440, , , , , , , , , , , ,
20140120,2400,1440, , , , , , , , , , , ,
20140121,2400,1440,68,15:24,29,05:25,46,71,0.00,12.3,4.0,0.0,0.00,
20140122,2400,1440,69,14:53,33,07:00,48,69,0.00,12.8,0.0,0.0,0.00,
20140123,2400,1440,71,15:21,31,06:52,51,60,0.00,8.9,0.0,.2,0.00,
20140124,2400,1440,80,15:02,39,06:49,56,49,0.00,7.9,0.0,5.0,0.00,
20140125,2400,1440,74,15:24,40,24:00,55,51,0.00,4.3,0.0,3.7,0.00,
20140126,2400,1440,70,13:08,37,02:48,51,59,0.00,11.3,0.0,0.0,0.00,
20140127,2400,1440,70,12:53,30,06:22,49,65,0.00,10.0,.4,0.0,0.00,
20140128,2400,1440,70,15:02,37,07:07,52,65,0.00,8.5,0.0,0.0,0.00,
20140129,2400,1440,71,15:04,39,06:48,55,68,0.00,6.6,0.0,0.0,0.00,
20140130,2400,1440,59,15:35,48,21:29,53,94,.21,0.0,0.0,0.0,0.00,
20140131,2400,1440,59,15:15,34,24:00,49,84,.01,6.3,0.0,0.0,0.00,
20140201,2400,1440,60,15:23,29,06:17,43,82,0.00,15.0,2.7,0.0,0.00,
20140202,2400,1440,51,12:04,35,00:52,45,85,.02,10.2,0.0,0.0,0.00,
20140203,2400,1440,58,14:48,35,06:05,44,87,0.00,14.9,0.0,0.0,0.00,
20140204,2400,1440,58,15:26,30,06:29,44,83,0.00,12.7,1.8,0.0,0.00,
20140205,2400,1440,61,15:56,30,07:27,45,78,0.00,13.0,.6,0.0,0.00,
20140206,2400,1440,49,16:17,44,00:06,47,96,.18,1.7,0.0,0.0,0.00,
20140207,2400,1440,57,12:55,44,06:33,50,96,.26,1.8,0.0,0.0,0.00,
20140208,2400,1440,62,12:47,49,03:54,54,95,.02,0.0,0.0,0.0,0.00,
20140209,2400,1440,67,14:32,50,06:19,59,92,0.00,0.0,0.0,0.0,0.00,
20140210,2400,1440,67,13:20,49,23:08,58,93,0.00,0.0,0.0,0.0,0.00,
20140211,2400,1440, , , , , , , , , , , ,
20140212,2400,1440,69,14:41,39,06:11,51,93,0.00,7.1,0.0,0.0,0.00,
20140213,2400,1440,72,15:16,41,06:15,55,86,0.00,5.6,0.0,.0,0.00,
20140214,2400,1440,73,15:41,44,06:53,57,87,0.00,.8,0.0,3.4,0.00,
20140215,2400,1440,66,15:02,42,05:50,54,94,0.00,4.3,0.0,0.0,0.00,
20140216,2400,1440, , , , , , , , , , , ,
20140217,2400,1440, , , , , , , , , , , ,
20140218,2400,1440, , , , , , , , , , , ,
20140219,2400,1440,69,15:15,38,06:41,54,81,0.00,4.8,0.0,0.0,0.00,
20140220,2400,1440,66,15:00,37,06:00,52,74,0.00,5.2,0.0,0.0,0.00,
20140221,2400,1440,70,15:39,38,06:47,53,75,0.00,7.6,0.0,0.0,0.00,
20140222,2400,1440,72,16:00,38,05:55,54,71,0.00,6.6,0.0,2.5,0.00,
20140223,2400,1440,76,15:23,37,06:53,56,71,0.00,5.6,0.0,5.0,0.00,
20140224,2400,1440,78,14:27,40,06:22,57,66,0.00,6.4,0.0,6.1,0.00,
20140225,2400,1440,80,14:27,41,05:08,60,62,0.00,5.1,0.0,7.2,0.00,
20140226,2400,1440,64,14:31,50,03:20,57,85,.29,0.0,0.0,0.0,0.00,
20140227,2400,1440,67,15:46,52,03:49,58,81,.04,0.0,0.0,0.0,0.00,
20140228,2400,1440,65,11:18,52,23:29,56,92,.66,0.0,0.0,0.0,0.00,
20140301,2400,1440,64,11:14,50,23:59,56,82,0.00,0.0,0.0,0.0,0.00,
20140302,2400,1440,64,13:34,47,23:59,55,90,0.00,0.0,0.0,0.0,0.00,
20140303,2400,1440,66,14:50,44,06:32,55,92,0.00,1.1,0.0,0.0,0.00,
20140304,2400,1440,69,16:10,53,05:10,59,88,0.00,0.0,0.0,0.0,0.00,
20140305,2400,1440,71,15:59,50,06:51,60,89,0.00,0.0,0.0,1.4,0.00,
20140306,2400,1440,71,14:56,54,23:58,62,84,.02,0.0,0.0,1.6,0.00,
20140307,2400,1440,66,17:07,47,06:30,55,86,0.00,0.0,0.0,0.0,0.00,
20140308,2400,1440,75,14:23,42,06:16,58,76,0.00,3.4,0.0,4.5,0.00,
20140309,2400,1440,76,15:53,49,00:05,61,69,0.00,0.0,0.0,5.6,0.00,
20140310,2400,1440,73,13:31,44,05:59,59,77,0.00,.2,0.0,3.6,0.00,
20140311,2400,1440,69,15:59,39,05:42,54,78,0.00,4.7,0.0,0.0,0.00,
20140312,2400,1440, , , , , , , , , , , ,
20140313,2400,1440,78,15:23,39,06:36,58,54,0.00,4.2,0.0,6.1,0.00,
20140314,2400,1440,77,14:47,40,06:02,59,58,0.00,4.0,0.0,6.4,0.00,
20140315,2400,1440,80,15:36,44,05:53,61,70,0.00,.9,0.0,6.3,0.00,
20140316,2400,1440,84,14:00,44,05:15,63,62,0.00,.3,0.0,8.3,0.00,
20140317,2400,1440,72,14:41,49,23:58,60,57,0.00,0.0,0.0,.9,0.00,
20140318,2400,1440,74,15:33,38,04:51,56,61,0.00,4.0,0.0,2.9,0.00,
20140319,2400,1440,81,16:03,41,03:58,60,59,0.00,5.0,0.0,7.2,0.00,
20140320,2400,1440,81,14:57,43,05:47,62,56,0.00,1.6,0.0,7.3,0.00,
20140321,2400,1440,80,14:59,45,05:55,63,57,0.00,0.0,0.0,7.5,0.00,
20140322,2400,1440,77,15:40,42,06:01,60,65,0.00,1.7,0.0,5.6,0.00,
20140323,2400,1440,80,14:43,44,05:24,61,60,0.00,.5,0.0,7.1,0.00,
20140324,2400,1440,83,15:25,43,05:51,62,61,0.00,1.7,0.0,8.0,0.00,
20140325,2400,1440,77,14:47,45,05:40,61,62,0.00,0.0,0.0,6.4,0.00,
20140326,2400,1440,64,16:05,48,23:41,57,79,.13,0.0,0.0,0.0,0.00,
20140327,2400,1440,68,13:58,42,05:20,55,76,0.00,2.0,0.0,0.0,0.00,
20140328,2400,1440,74,14:25,43,06:10,58,73,0.00,1.1,0.0,4.8,0.00,
20140329,2400,1440,78,15:49,46,06:06,60,73,.16,0.0,0.0,6.5,0.00,
20140330,2400,1440,66,15:46,48,06:08,55,80,.05,0.0,0.0,0.0,0.00,
20140331,2400,1440,66,13:44,44,04:05,52,86,.22,.4,0.0,0.0,0.00,
20140401,2400,1440,63,14:28,40,03:20,51,80,0.00,5.3,0.0,0.0,0.00,
20140402,2400,1440,63,14:42,43,02:34,52,78,0.00,3.6,0.0,0.0,0.00,
20140403,2400,1440,69,15:07,39,05:05,55,75,0.00,7.2,0.0,0.0,0.00,
20140404,2400,1440,69,13:36,41,06:09,55,74,0.00,3.1,0.0,0.0,0.00,
